courseID|courseURL|word
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|banano
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|departamento
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|cocinera
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|saludable
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|waffles
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|astrid
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|inicial
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|leche
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|pastelera
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|permitan
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|consultora
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|graduada
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|tanto
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|harinas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|carbohidratos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|variar
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|viceministerio
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|mundo
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|momento
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|dulce
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|tortas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|conferencista
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|torta
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|online
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|naturales
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|alternativas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|escuela
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|center
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|busca
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|crema
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|ingrediente
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|quebradas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|haber
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|procedimientos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|leches
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|generar
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|otras
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|condensada
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|endulzada
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|emprendimiento
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|clases
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|programadas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|cocina
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|marisol
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|colombiana
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|frescos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|generales
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|requieren
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|huevo
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|llevado
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|estudiantes
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|alumno
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|espesantes
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|estudios
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|productos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|grasas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|dietas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|cualquier
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|cremas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|introducir
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|relacionada
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|recetas
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|innovar
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|endulzantes
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|rellenos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|bocuse
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|elaborados
